Date,Data Source name,Campaign,Campaign Status,Cost (INR),Clicks,Impressions,CPC (INR),CTR,CPM (INR),Conversions,Conv. Value (INR),Geo Location Segment,Country Funnel,Country,CPC_Calculated,CTR_Calculated,CPM_Calculated
2026-06-06,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,43.057805,12,31,3.58815,0.387097,1388.961452,0.0,0.0,Rest of the World,Canada,Canada,3.5881504166666667,0.3870967741935484,1388.9614516129031
2026-06-06,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,165.200739,7,19,23.600106,0.368421,8694.775737,0.0,0.0,USA,United States,United States,23.60010557142857,0.3684210526315789,8694.775736842106
2026-06-06,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,523.000706,67,144,7.805981,0.465278,3631.949347,1.0,5610.0,India,India,India,7.805980686567165,0.4652777777777778,3631.9493472222225
2026-06-07,XYZ Luxury,Growify | Shopping Ads | All Product | EOSS,PAUSED,45.25,9,309,5.027778,0.029126,146.440129,0.0,0.0,India,India,India,5.027777777777778,0.02912621359223301,146.4401294498382
2026-06-07,XYZ Luxury,Growify_P.max_HP_EOSS_Ind,ENABLED,992.305385,45,5428,22.051231,0.00829,182.812341,0.0,0.0,India,India,India,22.05123077777778,0.008290346352247605,182.81234064112013
2026-06-07,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,82.039353,16,33,5.12746,0.484848,2486.041,1.5,37675.0,Rest of the World,Canada,Canada,5.1274595625,0.48484848484848486,2486.041
2026-06-07,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,581.05,1,5,581.05,0.2,116210.0,0.5,4969.8,USA,United States,United States,581.05,0.2,116210.0
2026-06-07,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,805.753608,67,143,12.026173,0.468531,5634.640615,0.8,6357.69094,India,India,India,12.026173253731343,0.46853146853146854,5634.640615384616
2026-06-08,XYZ Luxury,Growify | Shopping Ads | All Product | EOSS,PAUSED,9.25,3,209,3.083333,0.014354,44.258373,0.0,0.0,India,India,India,3.0833333333333335,0.014354066985645933,44.25837320574163
2026-06-08,XYZ Luxury,Growify_P.max_HP_EOSS_Ind,ENABLED,1016.396257,73,5939,13.923236,0.012292,171.139292,0.0,0.0,India,India,India,13.923236397260274,0.012291631587809396,171.13929230510186
2026-06-08,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,71.392385,9,26,7.932487,0.346154,2745.860962,0.0,0.0,Rest of the World,Canada,Canada,7.932487222222223,0.34615384615384615,2745.8609615384617
2026-06-08,XYZ Luxury,Growify_XYZ LuxuryP_Search_INT-5/21/26,ENABLED,1156.957257,10,24,115.695726,0.416667,48206.55238,0.5,4969.8,USA,United States,United States,115.6957257,0.4166666666666667,48206.552375
2026-06-08,XYZ Luxury,Growify_XYZ LuxuryP_Search_India-12/12/25,ENABLED,194.237463,44,196,4.414488,0.22449,991.007464,0.0,0.0,India,India,India,4.414487795454545,0.22448979591836735,991.0074642857143
2026-06-09,XYZ Luxury,Growify | Shopping Ads | All Product | EOSS,PAUSED,38.86,6,570,6.476667,0.010526,68.175439,0.0,0.0,India,India,India,6.476666666666667,0.010526315789473684,68.17543859649122
