Date,Platform,Campaign,Spend (INR),Revenue (INR),Clicks,Impressions,Purchases,ROAS,CTR,CPC (INR),CPM (INR),Conversion Rate,AOV (INR)
2026-03-06,Facebook,Growify | MOF & BOF | Sale | India +intl,1157.74,0.0,3351,40102,0.0,0.0,8.356191711136601,0.34549089823933155,28.869881801406414,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,116.66,0.0,82,6689,0.0,0.0,1.2258932575870831,1.4226829268292682,17.440574076842577,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,198.83,0.0,371,15646,0.0,0.0,2.371213089607567,0.5359299191374663,12.708040393710855,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,545.38,0.0,1050,36294,0.0,0.0,2.8930401719292447,0.5194095238095238,15.026726180635919,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,56.49,0.0,0,25,0.0,0.0,0.0,,2259.6000000000004,,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,0.16,0.0,0,16,0.0,0.0,0.0,,10.0,,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,280.58,0.0,147,14228,0.0,0.0,1.0331740230531345,1.9087074829931971,19.72026989035704,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,501.76,0.0,267,22012,0.0,0.0,1.2129747410503362,1.879250936329588,22.794839178629836,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,113.15,0.0,34,4352,0.0,0.0,0.78125,3.3279411764705884,25.99954044117647,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,599.43,0.0,818,30661,0.0,0.0,2.6678842829653306,0.7327995110024449,19.550242979681027,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,175.05,0.0,257,10880,0.0,0.0,2.3621323529411766,0.6811284046692607,16.089154411764707,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,0.64,0.0,0,9,0.0,0.0,0.0,,71.11111111111111,,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,6.53,0.0,8,312,0.0,0.0,2.564102564102564,0.81625,20.92948717948718,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,31.91,0.0,7,962,0.0,0.0,0.7276507276507277,4.558571428571429,33.17047817047817,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | INDIA,1120.18,0.0,417,30419,0.0,0.0,1.3708537427265852,2.686282973621103,36.8250106841119,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | India,1482.03,0.0,3171,31697,0.0,0.0,10.004101334511152,0.46736991485335855,46.75615988894848,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | India,1.47,0.0,0,71,0.0,0.0,0.0,,20.704225352112676,,
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | India,1956.51,0.0,1231,39538,0.0,0.0,3.1134604684101372,1.5893663688058488,49.48429359097577,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | India,1053.569999,0.0,10987,53965,0.0,0.0,20.359492263504123,0.09589241822153455,19.523209469100344,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | India,0.53,0.0,0,15,0.0,0.0,0.0,,35.333333333333336,,
2026-03-06,Facebook,Growify | TOF | Sale | India,951.1,0.0,287,8219,0.0,0.0,3.4919089913614796,3.3139372822299653,115.7196739262684,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | India,1716.71,0.0,1825,24430,0.0,0.0,7.47032337290217,0.9406630136986301,70.27056897257471,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | India,2614.2,0.0,2655,38531,0.0,0.0,6.890555656484389,0.9846327683615819,67.84666891593781,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | India,5.91,0.0,7,112,0.0,0.0,6.25,0.8442857142857143,52.767857142857146,0.0,
2026-03-06,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0,,,,,,
2026-03-06,Facebook,Growify | TOF | Sales | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-07,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,873.66,0.0,439,7228,0.0,0.0,6.07360265633647,1.9901138952164008,120.8716104039845,0.0,
2026-03-07,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,1060.68,0.0,86,1532,0.0,0.0,5.613577023498695,12.333488372093024,692.3498694516971,0.0,
2026-03-07,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,17.69,0.0,1,6,0.0,0.0,16.666666666666664,17.69,2948.3333333333335,0.0,
2026-03-07,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,68.46,0.0,2,20,0.0,0.0,10.0,34.23,3422.9999999999995,0.0,
2026-03-07,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,1088.48,0.0,51,532,0.0,0.0,9.586466165413533,21.342745098039217,2046.015037593985,0.0,
2026-03-07,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,103.37,0.0,8,124,0.0,0.0,6.451612903225806,12.92125,833.6290322580645,0.0,
2026-03-07,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,151.15,0.0,14,81,0.0,0.0,17.28395061728395,10.796428571428573,1866.0493827160494,0.0,
2026-03-07,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,619.13,0.0,51,485,0.0,0.0,10.515463917525773,12.139803921568628,1276.5567010309278,0.0,
2026-03-07,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,443.67,0.0,53,387,0.0,0.0,13.695090439276486,8.371132075471698,1146.434108527132,0.0,
2026-03-07,Facebook,Growify | 3rd Feb | Sale | ABO | Targeting,191.45,0.0,25,1402,0.0,0.0,1.783166904422254,7.6579999999999995,136.5549215406562,0.0,
2026-03-07,Facebook,Growify | Engagement | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-07,Facebook,Growify | Engagement | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-07,Facebook,Growify | MOF & BOF | Sale | India +intl,1560.32,0.0,3552,87396,0.0,0.0,4.064259233832212,0.4392792792792793,17.853448670419695,0.0,
2026-03-07,Facebook,Growify | MOF & BOF | Sale | India +intl,1179.22,0.0,3320,39060,0.0,0.0,8.499743983614952,0.35518674698795183,30.189964157706093,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,22.15,0.0,8,672,0.0,0.0,1.1904761904761905,2.76875,32.961309523809526,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,95.54,0.0,134,5063,0.0,0.0,2.646652182500494,0.7129850746268657,18.870235038514714,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,941.7,0.0,2244,55256,0.0,0.0,4.061097437382366,0.4196524064171123,17.042493122918778,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,82.56,0.0,15,440,0.0,0.0,3.4090909090909087,5.5040000000000004,187.63636363636363,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,3.49,0.0,1,165,0.0,0.0,0.6060606060606061,3.49,21.151515151515152,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,825.36,0.0,413,29488,0.0,0.0,1.4005697232772654,1.998450363196126,27.989690721649485,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,0.0,0.0,0,0,0.0,,,,,,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,35.95,0.0,15,1283,0.0,0.0,1.1691348402182384,2.396666666666667,28.02026500389712,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,1059.64,0.0,1605,55931,0.0,0.0,2.869607194579035,0.6602118380062306,18.945486402889276,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,0.0,0.0,0,0,0.0,,,,,,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,59.58,0.0,116,2821,0.0,0.0,4.112017015242822,0.5136206896551724,21.120170152428216,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,0.99,0.0,1,76,0.0,0.0,1.3157894736842104,0.99,13.026315789473685,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,11.22,0.0,4,289,0.0,0.0,1.384083044982699,2.805,38.82352941176471,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | INDIA,1319.55,0.0,541,21196,0.0,0.0,2.5523683713908287,2.4390942698706097,62.2546706925835,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | India,41.39,0.0,10,323,0.0,0.0,3.0959752321981426,4.139,128.14241486068113,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | India,1459.78,0.0,3335,36949,0.0,0.0,9.025954694308371,0.4377151424287856,39.50797044574954,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | India,24.85,0.0,3,572,0.0,0.0,0.5244755244755245,8.283333333333333,43.44405594405595,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-07,Facebook,Growify | TOF | Sale | India,1995.37,15750.0,865,17989,1.0,7.893272926825602,4.8084940797153815,2.30678612716763,110.92167435655122,0.11560693641618498,15750.0
2026-03-07,Facebook,Growify | TOF | Sale | India,5.21,0.0,0,26,0.0,0.0,0.0,,200.3846153846154,,
2026-03-07,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-07,Facebook,Growify | TOF | Sale | India,1199.94,0.0,11183,64858,0.0,0.0,17.242283141632488,0.10730036662791738,18.501033025995252,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0,,,,,,
2026-03-07,Facebook,Growify | TOF | Sale | India,16.719999,0.0,2,165,0.0,0.0,1.2121212121212122,8.3599995,101.33332727272729,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | India,889.41,0.0,236,6566,0.0,0.0,3.5942735303076456,3.768686440677966,135.45689917758148,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | India,1720.78,15750.0,1827,21470,1.0,9.152826044003302,8.509548206800186,0.9418609742747673,80.14811364694923,0.05473453749315819,15750.0
2026-03-07,Facebook,Growify | TOF | Sale | India,2451.42,0.0,2372,32252,0.0,0.0,7.35458266154037,1.0334822934232715,76.0083095621977,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | India,24.9,0.0,9,172,0.0,0.0,5.232558139534884,2.7666666666666666,144.7674418604651,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | India,46.73,0.0,20,402,0.0,0.0,4.975124378109453,2.3365,116.24378109452735,0.0,
2026-03-07,Facebook,Growify | TOF | Sale | US,0.0,0.0,0,0,0.0,,,,,,
2026-03-08,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,151.71,8050.0,85,1105,1.0,53.0617625733307,7.6923076923076925,1.7848235294117647,137.29411764705884,1.1764705882352942,8050.0
2026-03-08,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,355.28,0.0,30,534,0.0,0.0,5.617977528089887,11.842666666666666,665.318352059925,0.0,
2026-03-08,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,144.53,0.0,14,142,0.0,0.0,9.859154929577464,10.323571428571428,1017.8169014084506,0.0,
