Date,Platform,Campaign,Spend (INR),Revenue (INR),Clicks,Impressions,Purchases
2026-03-03,Facebook,Growify | TOF | Sales | India,733.31,0.0,6519,28992,0.0
2026-03-03,Facebook,Growify | TOF | Sales | India,216.66,0.0,2732,8418,0.0
2026-03-04,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,1171.25,13050.0,525,5857,1.0
2026-03-04,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,51.01,0.0,22,326,0.0
2026-03-04,Facebook,Conv | Tof | Multi Category | Ind | Direct | Growify | LAL,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,80.76,0.0,4,109,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,703.6,0.0,53,1208,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,198.51,0.0,14,240,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,92.41,0.0,7,36,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,601.33,0.0,40,324,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,570.72,0.0,68,320,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,92.08,0.0,10,89,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,64.08,0.0,6,78,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,214.33,0.0,30,256,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,223.7,0.0,32,249,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,345.38,0.0,53,352,0.0
2026-03-04,Facebook,Conv | Tof | Multicategory | INT | Direct | Growify,340.66,0.0,40,297,0.0
2026-03-04,Facebook,Growify | Engagement | India,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Growify | Engagement | India,464.75,0.0,19,1815,0.0
2026-03-04,Facebook,Growify | Engagement | India,781.15,0.0,127,2581,0.0
2026-03-04,Facebook,Growify | Engagement | India,315.42,0.0,51,2526,0.0
2026-03-04,Facebook,Growify | Engagement | India,190.49,0.0,56,2105,0.0
2026-03-04,Facebook,Growify | Engagement | India,361.74,0.0,54,3863,0.0
2026-03-04,Facebook,Growify | MOF & BOF | Sale | India +intl,1200.49,20700.0,5295,100228,1.0
2026-03-04,Facebook,Growify | MOF & BOF | Sale | India +intl,936.1,0.0,3240,33563,0.0
2026-03-04,Facebook,Growify | MOF & BOF | Sale | India +intl,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Growify | MOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,147.13,0.0,77,5935,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,335.93,0.0,602,13279,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,424.84,0.0,454,7258,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,9.12,0.0,1,94,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,309.97,0.0,24,2511,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,788.6,0.0,173,17583,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,156.92,0.0,55,4465,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,390.62,0.0,498,10582,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,285.98,0.0,313,6117,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,235.05,0.0,54,2330,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,243.72,0.0,39,4204,0.0
2026-03-04,Facebook,Growify | TOF | Sale | INDIA,474.51,0.0,95,6390,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,862.66,0.0,1525,15375,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,7.43,0.0,1,39,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,502.81,0.0,354,8310,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,662.3,6300.0,378,9624,1.0
2026-03-04,Facebook,Growify | TOF | Sale | India,0.0,0.0,0,0,0.0
2026-03-04,Facebook,Growify | TOF | Sale | India,1459.65,0.0,18899,139734,0.0
